,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
pos,DT,NN,VBZ,DT,NNP,VBP,VBN,VBG,DT,NN,",",VBG,PRP,IN,DT,JJS,NNS,CC,VBG,PRP,TO,VB,DT,NN,POS,JJS,NN,RB,,,,,,,,,,,,,,,,,,,,
true,O,O,O,O,B-org,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,B-gpe,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,
word,bolivia,",",named,after,independence,fighter,simon,bolivar,",",broke,away,from,spanish,rule,in,1825,;,much,of,its,subsequent,history,has,consisted,of,a,series,of,nearly,200,coups,and,countercoups,,,,,,,,,,,,,,,
pos,NNP,",",VBN,IN,NN,NN,NNP,NNP,",",VBD,RB,IN,JJ,NN,IN,CD,;,NN,IN,PRP$,JJ,NN,VBZ,VBN,IN,DT,NN,IN,RB,CD,NNS,CC,NNS,,,,,,,,,,,,,,,
true,B-geo,O,O,O,O,O,B-per,I-per,O,O,O,O,B-gpe,O,O,B-tim,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,
pred,B-gpe,O,O,O,O,O,O,O,O,O,O,O,B-gpe,O,O,B-tim,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
word,the,fighting,was,centered,in,the,bakara,market,",",a,longtime,insurgent,stronghold,",",and,the,city,'s,howlwadaag,district,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,DT,NN,VBD,VBN,IN,DT,NNP,NN,",",DT,JJ,JJ,NN,",",CC,DT,NN,POS,NNP,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,O,O,O,O,O,O,B-geo,O,O,O,O,O,O,O,O,O,O,O,B-org,I-org,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word,insurgents,have,launched,two,deadly,attacks,against,shi'ites,in,iraq,",",just,hours,after,u.s.,secretary,of,defense,donald,rumsfeld,paid,a,surprise,visit,to,american,troops,in,the,country,,,,,,,,,,,,,,,,,,
pos,NNS,VBP,VBN,CD,JJ,NNS,IN,NNS,IN,NNP,",",RB,NNS,IN,NNP,NNP,IN,NNP,NNP,NNP,VBD,DT,NN,NN,TO,JJ,NNS,IN,DT,NN,,,,,,,,,,,,,,,,,,
true,O,O,O,O,O,O,O,O,O,B-geo,O,O,O,O,B-geo,O,O,O,B-per,I-per,O,O,O,O,O,B-gpe,O,O,O,O,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,B-geo,O,O,O,O,B-gpe,O,O,O,O,O,O,O,O,O,O,B-gpe,O,O,O,O,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,
word,u.s.,vice,president,dick,cheney,is,heading,sunday,to,the,middle,east,for,visits,to,oman,",",saudia,arabia,",",israel,",",the,west,bank,",",and,turkey,,,,,,,,,,,,,,,,,,,,
pos,NNP,NNP,NNP,NNP,NNP,VBZ,VBG,NNP,TO,DT,NNP,NNP,IN,NNS,TO,NNP,",",NNP,NNP,",",NNP,",",DT,NNP,NNP,",",CC,NNP,,,,,,,,,,,,,,,,,,,,
true,B-org,B-per,I-per,I-per,I-per,O,O,B-tim,O,O,B-geo,I-geo,O,O,O,B-geo,O,B-geo,I-geo,O,B-geo,O,O,B-org,I-org,O,O,B-org,,,,,,,,,,,,,,,,,,,,
pred,B-gpe,O,O,B-per,O,O,O,B-tim,O,O,O,O,O,O,O,O,O,O,O,O,B-geo,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,
word,under,the,agreement,with,india,",",the,bush,administration,is,offering,to,increase,missile,defense,and,other,security,high-tech,initiatives,",",as,well,as,to,expand,economic,and,energy,cooperation,,,,,,,,,,,,,,,,,,
pos,IN,DT,NN,IN,NNP,",",DT,NNP,NN,VBZ,VBG,TO,VB,NN,NN,CC,JJ,NN,JJ,NNS,",",RB,RB,IN,TO,VB,JJ,CC,NN,NN,,,,,,,,,,,,,,,,,,
true,O,O,O,O,B-geo,O,O,B-geo,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,
word,as,the,tsunami,disaster,in,south,asia,continues,to,unfold,",",millions,of,people,are,turning,to,the,internet,for,news,updates,-,or,to,search,for,missing,relatives,,,,,,,,,,,,,,,,,,,
pos,IN,DT,NN,NN,IN,NNP,NNP,VBZ,TO,VB,",",NNS,IN,NNS,VBP,VBG,TO,DT,NN,IN,NN,NNS,:,CC,TO,VB,IN,VBG,NNS,,,,,,,,,,,,,,,,,,,
true,O,O,O,O,O,B-geo,I-geo,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,B-geo,I-geo,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,
word,india,has,suspended,railway,service,to,and,from,pakistan,in,the,wake,of,the,assassination,of,former,pakistani,prime,minister,benazir,bhutto,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,NNP,VBZ,VBN,NN,NN,TO,CC,IN,NNP,IN,DT,NN,IN,DT,NN,IN,JJ,JJ,NNP,NNP,NNP,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
true,B-org,O,O,O,O,O,O,O,B-geo,O,O,O,O,O,O,O,O,O,B-per,I-per,I-per,I-per,,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,B-gpe,O,O,O,O,O,O,O,O,B-gpe,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,
word,but,she,said,latin,american,nations,must,overcome,obstacles,on,their,side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,CC,PRP,VBD,JJ,JJ,NNS,MD,VB,NNS,IN,PRP$,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,O,O,O,O,B-gpe,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,B-gpe,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word,the,third,test,is,scheduled,for,galle,international,stadium,beginning,december,18th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,DT,JJ,NN,VBZ,VBN,IN,NNP,NNP,NNP,VBG,NNP,CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,O,O,O,O,O,O,B-org,I-org,I-org,O,B-tim,I-tim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,B-tim,I-tim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word,meanwhile,",",iraqi,police,say,at,least,11,car,bombs,-,most,of,them,in,baghdad,-,exploded,sunday,",",wounding,at,least,20,people,,,,,,,,,,,,,,,,,,,,,,,
pos,RB,",",JJ,NNS,VBP,IN,JJS,CD,NN,NNS,IN,JJS,IN,PRP,IN,NNP,:,VBD,NNP,",",VBG,IN,JJS,CD,NNS,,,,,,,,,,,,,,,,,,,,,,,
true,O,O,B-gpe,O,O,O,O,O,O,O,O,O,O,O,O,B-geo,O,O,B-tim,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,B-gpe,O,O,O,O,O,O,O,O,O,O,O,O,B-geo,I-geo,O,B-tim,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,
word,worried,traders,also,sold,the,mexican,peso,and,some,other,currencies,",",and,bought,u.s.,dollars,and,japanese,yen,for,their,perceived,safety,in,a,crisis,,,,,,,,,,,,,,,,,,,,,,
pos,JJ,NNS,RB,VBD,DT,JJ,NN,CC,DT,JJ,NNS,",",CC,VBD,NNP,NNS,CC,JJ,NNS,IN,PRP$,VBN,NN,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,
true,O,O,O,O,O,B-gpe,O,O,O,O,O,O,O,O,B-geo,O,O,B-gpe,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,B-gpe,O,O,O,O,O,O,O,O,B-gpe,O,O,B-gpe,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,
word,colombia,'s,harrison,otalvaro,had,opened,the,scoring,in,the,52nd,minute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,NNP,POS,NNP,NNP,VBD,VBN,DT,VBG,IN,DT,JJ,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,B-org,O,B-per,I-per,O,O,O,O,O,O,B-tim,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,B-tim,I-tim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word,although,the,country,has,been,independent,from,the,ussr,since,1991,",",russian,forces,have,remained,on,moldovan,territory,east,of,the,dniester,river,supporting,the,slavic,majority,population,",",mostly,ukrainians,and,russians,",",who,have,proclaimed,a,"""",transnistria,"""",republic,,,,,
pos,IN,DT,NN,VBZ,VBN,JJ,IN,DT,NNP,IN,CD,",",JJ,NNS,VBP,VBN,IN,JJ,NN,NN,IN,DT,NNP,NNP,VBG,DT,JJ,NN,NN,",",RB,NNS,CC,NNS,",",WP,VBP,VBN,DT,``,NNP,``,NN,,,,,
true,O,O,O,O,O,O,O,O,B-org,B-tim,I-tim,O,B-gpe,O,O,O,O,B-gpe,O,O,O,O,B-geo,I-geo,O,O,O,O,O,O,O,O,O,B-gpe,O,O,O,O,O,O,O,O,O,,,,,
pred,O,O,O,O,O,O,O,O,O,O,B-tim,O,B-gpe,O,O,O,O,B-gpe,O,O,O,O,O,O,O,O,O,O,O,O,O,B-gpe,O,B-gpe,O,O,O,O,O,O,O,O,O,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,
word,swedish,officials,say,an,iraqi-born,swedish,citizen,held,hostage,in,iraq,since,january,has,been,freed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,JJ,NNS,VBP,DT,JJ,JJ,NN,VBD,NN,IN,NNP,IN,NNP,VBZ,VBN,VBN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,B-gpe,O,O,O,O,B-gpe,O,O,O,O,B-geo,B-tim,I-tim,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pred,B-gpe,O,O,O,O,B-gpe,O,O,O,O,B-geo,B-tim,I-tim,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word,cars,contribute,to,choking,air,pollution,in,major,chinese,cities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,NNS,VBP,TO,VBG,NN,NN,IN,JJ,JJ,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,O,O,O,O,O,O,O,O,B-gpe,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,B-gpe,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word,prosecutors,say,mr.,ahmed,had,gone,to,afghanistan,to,train,with,osama,bin,laden,'s,followers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,NNS,VBP,NNP,NNP,VBD,VBN,TO,NNP,TO,VB,IN,NNP,NNP,NNP,POS,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,O,O,B-per,I-per,O,O,O,B-geo,O,O,O,B-per,I-per,I-per,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,B-per,O,O,O,O,B-geo,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word,top,united,nations,relief,official,jan,egeland,said,the,pledges,came,at,a,donor,meeting,in,geneva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,JJ,NNP,NNPS,NN,NN,NNP,NNP,VBD,DT,NNS,VBD,IN,DT,NN,NN,IN,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,O,B-org,I-org,O,O,B-per,I-per,O,O,O,O,O,O,O,O,O,B-geo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word,burmese,state,media,say,north,korea,'s,first,ambassador,to,burma,has,taken,up,his,post,after,a,diplomatic,break,of,24,years,between,the,two,countries,,,,,,,,,,,,,,,,,,,,,
pos,JJ,NN,NNS,VBP,NNP,NNP,POS,JJ,NN,TO,NNP,VBZ,VBN,RP,PRP$,NN,IN,DT,JJ,NN,IN,CD,NNS,IN,DT,CD,NNS,,,,,,,,,,,,,,,,,,,,,
true,B-gpe,O,O,O,B-geo,I-geo,O,O,O,O,B-geo,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,
pred,B-gpe,O,O,O,B-geo,B-gpe,O,O,O,O,B-geo,O,O,O,O,O,O,O,O,O,B-tim,I-tim,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,
word,the,u.s.,military,in,afghanistan,says,two,american,soldiers,have,been,charged,with,assaulting,detainees,at,a,coalition,base,in,uruzgan,province,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,DT,NNP,NN,IN,NNP,VBZ,CD,JJ,NNS,VBP,VBN,VBN,IN,VBG,NNS,IN,DT,NN,NN,IN,NNP,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
true,O,B-geo,O,O,B-geo,O,O,B-gpe,O,O,O,O,O,O,O,O,O,O,O,O,B-geo,O,,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,B-gpe,O,O,B-gpe,O,O,B-gpe,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,
word,brad,delp,was,found,dead,march,9,",",at,his,home,in,the,northeastern,state,of,new,hampshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,NNP,NNP,VBD,VBN,JJ,NNP,CD,",",IN,PRP$,NN,IN,DT,JJ,NN,IN,NNP,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,B-per,I-per,O,O,O,B-tim,I-tim,O,O,O,O,O,O,O,O,O,B-geo,I-geo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,B-tim,I-tim,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word,president,robert,mugabe,began,the,land,seizures,in,2000,and,transferred,ownership,to,landless,blacks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,NNP,NNP,NNP,VBD,DT,NN,NNS,IN,CD,CC,VBD,NN,TO,JJ,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,B-per,I-per,I-per,O,O,O,O,O,B-tim,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word,chinese,officials,say,at,least,27,workers,are,confirmed,dead,after,a,gas,explosion,tore,through,a,coal,mine,in,china,'s,northwest,shaanxi,province,,,,,,,,,,,,,,,,,,,,,,,
pos,JJ,NNS,VBP,IN,JJS,CD,NNS,VBP,VBN,JJ,IN,DT,NN,NN,VBD,IN,DT,NN,NN,IN,NNP,POS,JJS,NNP,NN,,,,,,,,,,,,,,,,,,,,,,,
true,B-gpe,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-geo,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,
pred,B-gpe,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-geo,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,
word,organizers,say,they,aim,to,develop,a,hemispheric,television,network,to,provide,programs,from,a,latin,american,perspective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,NNS,VBP,PRP,VBP,TO,VB,DT,JJ,NN,NN,TO,VB,NNS,IN,DT,JJ,JJ,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-gpe,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-gpe,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word,following,world,war,ii,",",korea,was,split,with,the,northern,half,coming,under,soviet-sponsored,communist,control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,VBG,NNP,NNP,NNP,",",NNP,VBD,VBN,IN,DT,JJ,NN,VBG,IN,JJ,JJ,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,O,B-eve,I-eve,I-eve,O,B-gpe,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word,however,",",there,is,still,uncertainty,the,rebels,will,sign,the,final,peace,deal,until,rebel,leader,joseph,kony,is,granted,immunity,from,international,prosecution,,,,,,,,,,,,,,,,,,,,,,,
pos,RB,",",EX,VBZ,RB,NN,DT,NNS,MD,VB,DT,JJ,NN,NN,IN,NN,NN,NNP,NNP,VBZ,VBN,NN,IN,JJ,NN,,,,,,,,,,,,,,,,,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-per,I-per,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,
word,nepali,authorities,say,at,least,six,maoist,rebels,were,killed,and,several,soldiers,were,missing,following,a,fierce,gunbattle,in,eastern,nepal,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,JJ,NNS,VBP,IN,JJS,CD,NNP,NNS,VBD,VBN,CC,JJ,NNS,VBD,VBG,VBG,DT,JJ,NN,IN,JJ,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
true,B-gpe,O,O,O,O,B-tim,I-tim,O,O,O,O,O,O,O,O,O,O,O,O,O,B-geo,B-gpe,,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-geo,B-gpe,,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,
word,the,recently,retired,head,of,london,'s,police,force,warned,that,there,are,at,least,100,al-qaida,terrorists,in,britain,determined,to,carry,out,attacks,there,,,,,,,,,,,,,,,,,,,,,,
pos,DT,RB,VBN,NN,IN,NNP,POS,NN,NN,VBD,IN,EX,VBP,IN,JJS,CD,NNP,NNS,IN,NNP,VBN,TO,VB,RP,NNS,RB,,,,,,,,,,,,,,,,,,,,,,
true,O,O,O,O,O,B-geo,O,O,O,O,O,O,O,O,O,O,B-org,O,O,B-geo,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,B-geo,O,O,O,O,O,O,O,O,O,O,O,O,O,B-gpe,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,
word,obama,'s,announcement,concides,with,a,major,energy,summit,in,saudi,arabia,on,ways,to,rein,in,the,high,oil,prices,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,NNP,POS,NN,VBZ,IN,DT,JJ,NN,NN,IN,NNP,NNP,IN,NNS,TO,VB,IN,DT,JJ,NN,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,B-per,O,O,O,O,O,O,O,O,O,B-geo,I-geo,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,
word,pakistani,officials,say,armed,tribesmen,have,killed,more,than,40,foreign,militants,in,the,latest,fighting,along,pakistan,'s,western,border,with,afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,
pos,JJ,NNS,VBP,JJ,NNS,VBP,VBN,RBR,IN,CD,JJ,NNS,IN,DT,JJS,NN,IN,NNP,POS,JJ,NN,IN,NNP,,,,,,,,,,,,,,,,,,,,,,,,,
true,B-gpe,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-geo,O,O,O,O,B-gpe,,,,,,,,,,,,,,,,,,,,,,,,,
pred,B-gpe,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-gpe,O,O,O,O,B-gpe,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
word,muslim,leaders,in,northern,nigeria,suspended,polio,immunizations,in,late,2003,",",claiming,the,u.n.,health,agency,had,supplied,a,vaccine,that,would,cause,sterility,,,,,,,,,,,,,,,,,,,,,,,
pos,NNP,NNS,IN,JJ,NNP,VBD,NN,NNS,IN,JJ,CD,",",VBG,DT,NNP,NN,NN,VBD,VBN,DT,NN,WDT,MD,VB,NN,,,,,,,,,,,,,,,,,,,,,,,
true,B-per,O,O,O,B-geo,O,O,O,O,O,B-tim,O,O,O,B-geo,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,B-geo,B-gpe,O,O,O,O,O,B-tim,O,O,O,B-geo,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,
word,australia,sent,1500,troops,and,200,police,officers,to,east,timor,in,may,after,weeks,of,street,violence,",",sparked,by,a,split,in,the,ranks,of,east,timor,'s,armed,forces,,,,,,,,,,,,,,,,
pos,NNP,VBD,CD,NNS,CC,CD,NN,NNS,TO,NNP,NNP,IN,NNP,IN,NNS,IN,NN,NN,",",VBN,IN,DT,NN,IN,DT,NNS,IN,NNP,NNP,POS,JJ,NNS,,,,,,,,,,,,,,,,
true,B-org,O,O,O,O,O,O,O,O,B-geo,I-geo,O,B-tim,O,O,B-tim,I-tim,I-tim,O,O,O,O,O,O,O,O,O,B-geo,I-geo,O,O,O,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,
word,a,major,quake,in,1999,killed,more,than,17000,people,in,the,northwestern,part,of,the,country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,DT,JJ,NN,IN,CD,VBD,JJR,IN,CD,NNS,IN,DT,JJ,NN,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,O,O,O,O,B-tim,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,B-tim,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word,the,alliance,says,the,commander,",",mullah,akhtar,",",was,responsible,for,brining,foreign,fighters,from,iran,into,afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,DT,NN,VBZ,DT,NN,",",NNP,NNP,",",VBD,JJ,IN,VBG,JJ,NNS,IN,NNP,IN,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,O,O,O,O,O,O,B-per,I-per,O,O,O,O,O,O,O,O,B-geo,O,B-geo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-geo,O,B-gpe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
